coordinate	file	sha256
com.fasterxml.jackson.core:jackson-annotations:2.13.3	jackson-annotations-2.13.3.jar	5326a6fbcde7cf8817f36c254101cd45f6acea4258518cd3c80ee5b89f4e4b9b
com.fasterxml.jackson.core:jackson-core:2.13.3	jackson-core-2.13.3.jar	ab119a8ea3cc69472ebc0e870b849bfbbe536ad57d613dc38453ccd592ca6a3d
com.fasterxml.jackson.core:jackson-databind:2.13.3	jackson-databind-2.13.3.jar	6444bf08d8cd4629740afc3db1276938f494728deb663ce585c4e91f6b45eb84
com.networknt:json-schema-validator:1.0.43	json-schema-validator-1.0.43.jar	7c10b089a973fe15d13fbe3205c30eb751d6770354ffe77643c9d6133073a7bf
org.antlr:antlr4-runtime:4.7.2	antlr4-runtime-4.7.2.jar	4c518b87d4bdff8b44cd8cbc1af816e944b62a3fe5b80b781501cf1f4759bbc4
org.apache.commons:commons-lang3:3.5	commons-lang3-3.5.jar	8ac96fc686512d777fca85e144f196cd7cfe0c0aec23127229497d1a38ff651c
org.apache.logging.log4j:log4j-api:2.17.1	log4j-api-2.17.1.jar	b0d8a4c8ab4fb8b1888d0095822703b0e6d4793c419550203da9e69196161de4
org.apache.logging.log4j:log4j-core:2.17.1	log4j-core-2.17.1.jar	c967f223487980b9364e94a7c7f9a8a01fd3ee7c19bdbf0b0f9f8cb8511f3d41
org.jboss:jboss-dmr:1.5.0.Final	jboss-dmr-1.5.0.Final.jar	cbbe302464ff99bc0656be2343958f3eb7a4ffc575e03bb7399fccbb327be6c5
org.jruby.jcodings:jcodings:1.0.46	jcodings-1.0.46.jar	13e7fa99093b729fe736f1bf6886e6230065b36bd3dc9117ee14942883e3e515
org.jruby.joni:joni:2.1.31	joni-2.1.31.jar	96c8d65e99d16a2ee48046fa352a972feadbc15420ed576a3c13d8339cdbe1f0
org.revapi.classif:classif-dsl:0.1.1	classif-dsl-0.1.1.jar	eb62873779b25e8b997172b0e88900ac0835489611d7b24d0521861e6ffee081
org.revapi.classif:classif:0.1.1	classif-0.1.1.jar	56b3a356500b2a0acfa964b960d593361acd6c6324bcd13ffd26802b38b44412
org.revapi:revapi-java-spi:0.25.1	revapi-java-spi-0.25.1.jar	8fd32703b52df0e206ff55c4e3b97525cc4cd790693972e1746cdd4230d3a42a
org.revapi:revapi-java:0.28.4	revapi-java-0.28.4.jar	95f9edd7082703037fa229a415bc7aaf14b60a85319c893d1a9cd0e665e3a825
org.revapi:revapi:0.15.1	revapi-0.15.1.jar	c41a393d7216e56f98d66a57ca964ffceb658849b42ef488b71f89a600beae72
org.slf4j:slf4j-api:1.7.25	slf4j-api-1.7.25.jar	18c4a0095d5c1da6b817592e767bb23d29dd2f560ad74df75ff3961dbde25b79
